mode,k,bin_index,n_galaxies,log_m200_median,log_m200_min,log_m200_max,re,im,power,phase,rms,bin_snr,mode_snr
5,4.487990,21,70,11.1900,11.1900,11.2000,7.09315357e-2,1.19644933e-1,1.93461928e-2,1.035651,1.67033957e-1,0.832708,0.832708
6,5.385587,21,70,11.1900,11.1900,11.2000,-3.42085706e-2,1.32700980e-1,1.87797763e-2,1.823090,1.67033957e-1,0.832708,0.820428
7,6.283185,21,70,11.1900,11.1900,11.2000,-1.12995007e-1,6.88984979e-2,1.75148745e-2,2.594036,1.67033957e-1,0.832708,0.792317
1,0.897598,22,70,11.2000,11.2000,11.2100,-1.24049164e-2,-4.30391000e-2,2.00624608e-3,-1.851415,2.31793909e-1,0.485763,0.193237
2,1.795196,22,70,11.2000,11.2000,11.2100,4.24834934e-2,-3.86146317e-2,3.29593699e-3,-0.737728,2.31793909e-1,0.485763,0.247678
3,2.692794,22,70,11.2000,11.2000,11.2100,7.01479010e-2,1.70649395e-2,5.21194018e-3,0.238635,2.31793909e-1,0.485763,0.311457
4,3.590392,22,70,11.2000,11.2000,11.2100,3.58357373e-2,7.85039602e-2,7.44707183e-3,1.142564,2.31793909e-1,0.485763,0.372298
5,4.487990,22,70,11.2000,11.2000,11.2100,-4.17460305e-2,8.89179578e-2,9.64913428e-3,2.009739,2.31793909e-1,0.485763,0.423782
6,5.385587,22,70,11.2000,11.2000,11.2100,-1.02886592e-1,2.99261807e-2,1.14812271e-2,2.858537,2.31793909e-1,0.485763,0.462266
7,6.283185,22,70,11.2000,11.2000,11.2100,-9.55227913e-2,-5.96109536e-2,1.26780694e-2,-2.583677,2.31793909e-1,0.485763,0.485763
1,0.897598,23,70,11.2100,11.2100,11.2200,2.48455998e-1,1.99989833e-1,1.01726316e-1,0.677740,9.55438846e-2,3.338211,3.338211
2,1.795196,23,70,11.2100,11.2100,11.2200,6.65784716e-2,3.05301153e-1,9.76414868e-2,1.356083,9.55438846e-2,3.338211,3.270501
3,2.692794,23,70,11.2100,11.2100,11.2200,-1.35343801e-1,2.69855800e-1,9.11400972e-2,2.035676,9.55438846e-2,3.338211,3.159744
4,3.590392,23,70,11.2100,11.2100,11.2200,-2.61996883e-1,1.18364038e-1,8.26524119e-2,2.717262,9.55438846e-2,3.338211,3.009019
5,4.487990,23,70,11.2100,11.2100,11.2200,-2.60600509e-1,-6.93687447e-2,7.27246480e-2,-2.881437,9.55438846e-2,3.338211,2.822526
6,5.385587,23,70,11.2100,11.2100,11.2200,-1.45064826e-1,-2.02302538e-1,6.19701208e-2,-2.192886,9.55438846e-2,3.338211,2.605483
7,6.283185,23,70,11.2100,11.2100,11.2200,1.62703159e-2,-2.25280185e-1,5.10158848e-2,-1.498699,9.55438846e-2,3.338211,2.364013
1,0.897598,24,70,11.2200,11.2200,11.2300,1.23401787e-1,9.57998071e-2,2.44056040e-2,0.660137,8.23371575e-2,1.897356,1.897356
2,1.795196,24,70,11.2200,11.2200,11.2300,3.72465942e-2,1.44504009e-1,2.22687174e-2,1.318533,8.23371575e-2,1.897356,1.812390
3,2.692794,24,70,11.2200,11.2200,11.2300,-5.39957702e-2,1.26918051e-1,1.90237350e-2,1.973038,8.23371575e-2,1.897356,1.675144
4,3.590392,24,70,11.2200,11.2200,11.2300,-1.06543620e-1,6.11602345e-2,1.50921172e-2,2.620481,8.23371575e-2,1.897356,1.492036
